"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.375305908E2,2.354775872E1,8.728933662E1,8.467624741E1,3.073474121E1,1.090000033E0,3.550000000E1,2.064878140E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.385269656E2,2.354776677E1,8.728934337E1,8.497128660E1,3.102978516E1,1.039999962E0,4.059999847E1,2.077105219E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.395279590E2,2.354777646E1,8.728934904E1,8.510708288E1,3.116558838E1,1.120000005E0,3.000000000E1,2.087449289E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.405256076E2,2.354778376E1,8.728935533E1,8.549111186E1,3.154962158E1,1.070000052E0,4.840000153E1,2.098860978E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.415274204E2,2.354779291E1,8.728936040E1,8.566877850E1,3.172729492E1,1.070000052E0,3.259999847E1,2.113429855E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.425262373E2,2.354780426E1,8.728936754E1,8.567713244E1,3.173565674E1,1.090000033E0,3.129999924E1,2.126767360E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.435269458E2,2.354781459E1,8.728937419E1,8.586572397E1,3.192425537E1,1.090000033E0,3.309999847E1,2.139767314E-1,3.790092468E0,2.500000000E0,2.500000000E1
1.445260327E2,2.354782557E1,8.728937857E1,8.638658912E1,3.244512939E1,1.090000033E0,3.129999924E1,2.152524131E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.455301819E2,2.354783534E1,8.728938513E1,8.636576955E1,3.242431641E1,1.100000024E0,4.050000000E1,2.164675425E-1,3.790092468E0,2.561784267E0,2.700000000E1
1.465254337E2,2.354784516E1,8.728939036E1,8.570786432E1,3.176641846E1,1.139999986E0,3.329999924E1,2.176102632E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.475280428E2,2.354785446E1,8.728939513E1,8.464102383E1,3.069958496E1,9.800000191E-1,3.570000076E1,2.187761935E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.485290181E2,2.354786385E1,8.728940022E1,8.444753546E1,3.050610352E1,1.100000024E0,2.800000000E1,2.198389275E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.495258327E2,2.354787248E1,8.728940470E1,8.408058564E1,3.013916016E1,1.049999952E0,3.520000076E1,2.208901671E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.505276784E2,2.354788059E1,8.728941000E1,8.414637600E1,3.020495605E1,1.059999943E0,3.550000000E1,2.219435774E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.515280191E2,2.354788929E1,8.728941409E1,8.420197231E1,3.026055908E1,1.110000014E0,2.739999962E1,2.231239382E-1,3.790092468E0,2.500000000E0,2.500000000E1
