time,I
187.558199,0.00
187.763695,0.00
187.967460,0.00
188.171928,0.00
188.376825,0.00
188.581150,0.00
188.787146,0.00
188.987710,0.00
189.193848,0.00
189.435613,0.00
189.601473,0.00
189.808217,0.00
190.013981,0.00
190.218314,0.00
190.422893,0.00
190.631265,0.00
190.827572,0.00
191.034855,0.00
191.239534,0.00
191.443989,0.00
191.647920,0.00
191.859853,0.00
192.058358,0.00
192.270924,0.00
192.468451,0.00
192.680805,0.00
192.880990,0.00
193.079289,0.00
193.291090,0.00
193.493597,0.00
193.693623,0.00
193.897641,0.00
194.104928,0.00
194.319082,0.00
194.513864,0.00
194.717315,0.00
194.919646,0.00
195.127164,0.00
195.328203,0.00
195.533556,0.00
195.738352,0.00
195.943233,0.00
196.147007,0.00
196.350503,0.00
196.556909,0.00
196.760413,0.00
196.966053,0.00
197.169564,0.00
197.372539,0.00
197.583407,0.00
197.781866,0.00
197.987188,0.00
198.193424,0.00
198.398393,0.00
198.601279,0.00
198.807171,0.00
199.011265,0.00
199.215112,0.00
199.418208,0.00
199.625461,0.00
199.826644,0.00
200.034189,0.00
200.238970,0.00
200.443163,0.00
200.648032,0.00
200.851986,0.00
201.055854,0.00
201.467583,0.00
201.669461,0.00
202.080958,0.00
202.295659,0.00
202.491219,0.00
202.692839,0.00
202.905283,0.00
203.316266,7.32
203.514252,7.32
203.923965,40.87
204.124351,40.87
204.326788,40.87
204.534682,40.87
204.736434,40.87
204.942593,40.87
205.143602,40.87
205.349886,40.87
205.554792,0.00
205.967154,0.00
206.167449,0.00
206.370270,0.00
206.575769,0.00
206.783366,0.00
206.985802,0.00
207.189783,0.00
207.394166,0.00
207.598842,0.00
207.805526,0.00
208.006887,0.00
208.213038,0.00
208.418059,0.00
208.622310,0.00
208.826856,0.00
209.031795,0.00
209.238004,0.00
209.441418,0.00
209.646110,0.00
209.849867,0.00
210.054344,0.00
210.259526,0.00
210.463851,0.00
210.664393,0.00
210.869062,0.00
211.076458,0.00
211.288093,0.00
211.485010,0.00
211.689505,0.00
211.895361,0.00
212.098100,0.00
212.305000,0.00
212.509426,0.00
212.712681,0.00
212.928359,0.00
213.120664,0.00
213.325316,0.00
213.535586,0.00
213.735842,0.00
213.949060,0.00
214.149108,0.00
214.351050,0.00
214.561812,0.00
214.758034,0.00
214.964654,0.00
215.170007,0.00
215.370719,0.00
215.579141,0.00
215.782030,0.00
215.983778,0.00
216.191960,0.00
216.599602,0.00
216.801778,0.00
217.006142,0.00
217.419352,3.76
217.619653,3.76
218.030831,10.59
218.441316,125.12
218.642839,125.12
218.846653,125.12
219.052298,125.12
219.256084,125.12
219.461653,125.12
219.668591,125.12
219.871496,125.12
220.074281,125.12
220.285966,0.00
220.485007,0.00
220.689158,0.00
220.895424,0.00
221.097303,0.00
221.304658,0.00
221.506801,0.00
221.711733,0.00
221.918044,0.00
222.119884,0.00
222.325991,0.00
222.529328,0.00
222.735055,0.00
222.939734,0.00
223.142351,0.00
223.346392,0.00
223.553059,0.00
223.757682,0.00
223.975896,0.00
224.169665,0.00
224.369270,0.00
224.579847,0.00
224.780832,0.00
224.992793,0.00
225.189656,0.00
225.393847,0.00
225.601139,0.00
225.803005,0.00
226.006644,0.00
226.209347,0.00
226.415522,0.00
226.620649,0.00
227.032287,0.00
227.234415,0.00
227.438674,0.00
227.645995,0.00
228.055451,3.11
228.463160,3.47
228.873065,5.93
229.282471,108.70
229.692312,115.03
229.890870,115.03
230.097681,0.00
230.301609,0.00
230.507030,0.00
230.710631,0.00
230.916445,0.00
231.120715,0.00
231.325342,0.00
231.529649,0.00
231.733649,0.00
231.937649,0.00
232.140986,0.00
232.346020,0.00
232.552299,0.00
232.758078,0.00
232.962346,0.00
233.165975,0.00
233.369552,0.00
233.574149,0.00
233.780403,0.00
233.983287,0.00
234.188718,0.00
234.392040,0.00
234.596743,0.00
234.801507,0.00
235.006166,0.00
